ID,Year,NetAsset,Wealth
1.00,1.00,258.00,197.00
1.00,2.00,269.00,206.00
1.00,3.00,280.00,215.00
1.00,4.00,291.00,224.00
1.00,5.00,302.00,233.00
2.00,1.00,275.00,205.00
2.00,2.00,286.00,214.00
2.00,3.00,297.00,223.00
2.00,4.00,308.00,232.00
2.00,5.00,319.00,241.00
3.00,1.00,292.00,213.00
3.00,2.00,303.00,222.00
3.00,3.00,314.00,231.00
3.00,4.00,325.00,240.00
3.00,5.00,336.00,249.00
4.00,1.00,309.00,221.00
4.00,2.00,320.00,230.00
4.00,3.00,331.00,239.00
4.00,4.00,342.00,248.00
4.00,5.00,353.00,257.00
5.00,1.00,326.00,229.00
5.00,2.00,337.00,238.00
5.00,3.00,348.00,247.00
5.00,4.00,359.00,256.00
5.00,5.00,370.00,265.00
6.00,1.00,343.00,237.00
6.00,2.00,354.00,246.00
6.00,3.00,365.00,255.00
6.00,4.00,376.00,264.00
6.00,5.00,387.00,273.00
7.00,1.00,360.00,245.00
7.00,2.00,371.00,254.00
7.00,3.00,382.00,263.00
7.00,4.00,393.00,272.00
7.00,5.00,404.00,281.00
8.00,1.00,377.00,253.00
8.00,2.00,388.00,262.00
8.00,3.00,399.00,271.00
8.00,4.00,410.00,280.00
8.00,5.00,421.00,289.00
9.00,1.00,394.00,261.00
9.00,2.00,405.00,270.00
9.00,3.00,416.00,279.00
9.00,4.00,427.00,288.00
9.00,5.00,438.00,297.00
10.00,1.00,411.00,269.00
10.00,2.00,422.00,278.00
10.00,3.00,433.00,287.00
10.00,4.00,444.00,296.00
10.00,5.00,455.00,305.00
